t,Initials,Boat,Timestamp
Arctic Circle,JH,Miss Behave,01:34.25
Arctic Circle,BT,Blowfish,01:34.49
Arctic Circle,JEF,Tidal Blade,01:34.93
Arctic Circle,SHE,Miss Behave,01:36.29
Arctic Circle,R,Thresher,01:36.39
Arctic Circle,WIL,Cutthroat,01:37.32
Arctic Circle,RAL,Cutthroat,01:37.43
Arctic Circle,DAN,Razorback,01:37.75
Arctic Circle,KEV,Tidal Blade,01:38.09
Arctic Circle,CHI,Miss Behave,01:38.29
Lost Island,BT,Miss Behave,01:31.63
Lost Island,SET,Cutthroat,01:32.63
Lost Island,CHI,Banshee,01:32.86
Lost Island,DON,Damn the Torpedoes,01:33.06
Lost Island,BO,Tidal Blade,01:33.39
Lost Island,CHE,Tidal Blade,01:33.59
Lost Island,RAL,Damn the Torpedoes,01:33.66
Lost Island,SHA,Damn the Torpedoes,01:33.75
Lost Island,WIL,Midway,01:34.13
Lost Island,C T,Blowfish,01:34.42
Lake Powell,CHI,Midway,01:35.86
Lake Powell,CHE,Razorback,01:35.96
Lake Powell,WIL,Damn the Torpedoes,01:38.18
Lake Powell,RAL,Midway,01:39.86
Lake Powell,JEF,Miss Behave,01:41.03
Lake Powell,DAN,Thresher,01:41.04
Lake Powell,RE,Thresher,01:42.46
Lake Powell,DON,Thresher,01:42.66
Lake Powell,SHA,Blowfish,01:43.13
Lake Powell,KEI,Razorback,01:43.33
Ship Graveyard,BT,Miss Behave,01:31.82
Ship Graveyard,CHI,Tidal Blade,01:31.99
Ship Graveyard,CHE,Razorback,01:32.63
Ship Graveyard,WIL,Damn the Torpedoes,01:33.06
Ship Graveyard,RAL,Thresher,01:33.59
Ship Graveyard,R,Tidal Blade,01:36.16
Ship Graveyard,KEV,Banshee,01:36.46
Ship Graveyard,SHA,Miss Behave,01:36.46
Ship Graveyard,DON,Midway,01:37.16
Ship Graveyard,JEF,Miss Behave,01:37.73
Thunder Park,WIL,Damn the Torpedoes,01:31.49
Thunder Park,CHI,Cutthroat,01:31.66
Thunder Park,CHE,Blowfish,01:31.96
Thunder Park,R,Thresher,01:32.06
Thunder Park,RAL,Tidal Blade,01:33.06
Thunder Park,RE,Banshee,01:34.09
Thunder Park,KEI,Midway,01:34.35
Thunder Park,BO,Miss Behave,01:36.19
Thunder Park,SHE,Midway,01:38.09
Thunder Park,DAN,Miss Behave,01:39.66
Nile Adventure,JON,Thresher,02:43.87
Nile Adventure,WIL,Banshee,02:45.9
Nile Adventure,CHI,Blowfish,02:46.17
Nile Adventure,JEF,Miss Behave,02:47.6
Nile Adventure,R,Razorback,02:47.74
Nile Adventure,DON,Cutthroat,02:50.34
Nile Adventure,CHE,Cutthroat,02:50.6
Nile Adventure,KEV,Blowfish,02:50.67
Nile Adventure,SHA,Cutthroat,02:51.76
Nile Adventure,RAL,Thresher,02:52.84
N.Y. Disaster,BT,Miss Behave,01:35.23
N.Y. Disaster,JON,Banshee,01:35.96
N.Y. Disaster,CHI,Tidal Blade,01:36.43
N.Y. Disaster,CHE,Thresher,01:36.82
N.Y. Disaster,R,Miss Behave,01:37.13
N.Y. Disaster,WIL,Damn the Torpedoes,01:37.32
N.Y. Disaster,RAL,Cutthroat,01:37.96
N.Y. Disaster,JEF,Tidal Blade,01:39.53
N.Y. Disaster,DON,Tidal Blade,01:40.66
N.Y. Disaster,KEV,Banshee,01:40.99
Greek Isles,SHA,Damn the Torpedoes,01:30.39
Greek Isles,JEF,Tidal Blade,01:31.96
Greek Isles,CHI,Miss Behave,01:32.23
Greek Isles,CHE,Tidal Blade,01:33.43
Greek Isles,WIL,Miss Behave,01:35.16
Greek Isles,RAL,Blowfish,01:36.79
Greek Isles,PAT,Razorback,01:37.03
Greek Isles,R,Tidal Blade,01:37.23
Greek Isles,RE,Banshee,01:37.49
Greek Isles,KEI,Thresher,01:38.73
Venice Canals,BT,Damn the Torpedoes,01:18.58
Venice Canals,CHI,Blowfish,01:18.96
Venice Canals,CHE,Thresher,01:19.29
Venice Canals,WIL,Cutthroat,01:20.25
Venice Canals,RAL,Miss Behave,01:21.96
Venice Canals,R,Damn the Torpedoes,01:22.06
Venice Canals,JEF,Tidal Blade,01:23.39
Venice Canals,KEV,Blowfish,01:24.16
Venice Canals,SHA,Miss Behave,01:24.23
Venice Canals,DON,Damn the Torpedoes,01:24.93
Far East,SHA,Blowfish,01:25.18
Far East,WIL,Blowfish,01:31.59
Far East,KEV,Thresher,01:34.73
Far East,CHI,Razorback,01:34.82
Far East,JEF,Cutthroat,01:35.29
Far East,RAL,Blowfish,01:35.53
Far East,CHE,Thresher,01:35.59
Far East,DON,Thresher,01:36.39
Far East,RE,Cutthroat,01:37.16
Far East,R,Cutthroat,01:37.56
Hydro Speedway,BT,Banshee,01:36.63
Hydro Speedway,WIL,Blowfish,01:38.06
Hydro Speedway,JT,Razorback,01:40.46
Hydro Speedway,JEF,Thresher,01:40.86
Hydro Speedway,KEV,Miss Behave,01:43.06
Hydro Speedway,JAM,Thresher,01:44.68
Hydro Speedway,SHA,Midway,01:45.68
Hydro Speedway,R ,Thresher,01:49.75
Hydro Speedway,R,Tidal Blade,01:49.96
Hydro Speedway,ARO,Miss Behave,01:52.06
